,gene,gains,losses,count,dist,subsize
3245,group_4321,2,2,8.0,0.249423,0.020255
3246,group_5431,1,0,6.0,0.331256,0.054559
3247,group_666,2,1,5.0,0.338945,0.020183000000000003
3248,group_6734,1,0,6.0,0.331256,0.054559
3249,group_2002,1,1,4.0,0.052435999999999997,0.00426
3250,group_2578,2,2,9.0,0.315044,0.023242999999999996
3251,group_5430,1,0,6.0,0.331256,0.054559
3252,group_3658,11,0,12.0,0.05178,0.014591999999999999
3253,group_1914,7,0,9.0,0.25182,0.01514
3254,group_223,7,0,9.0,0.25182,0.01514
3255,group_605,2,5,9.0,0.32583,0.05255200000000001
3256,group_6886,0,2,2.0,0.0,0.03598
3257,group_1820,2,1,6.0,0.050052,0.023417000000000004
3258,group_901,3,0,8.0,0.331256,0.057356000000000004
3259,group_1616,1,1,8.0,0.33586099999999997,0.017466
3260,group_5651,2,2,9.0,0.315044,0.023242999999999996
3261,group_1061,0,2,2.0,0.0,0.03598
3262,group_2209,5,3,11.0,0.021695,0.114498
3263,group_493,2,0,7.0,0.033531,0.024358000000000005
3264,group_6907,0,2,2.0,0.0,0.03598
3265,group_649,1,1,6.0,0.315044,0.011714000000000002
3266,group_1167,5,4,15.0,0.249423,0.030882999999999997
3267,group_216,9,0,10.0,0.252095,0.015281
3268,group_6866,0,2,2.0,0.0,0.03598
3269,group_6985,1,2,8.0,0.244084,0.26044000000000006
3270,group_7018,1,1,9.0,0.244084,0.26117100000000004
3271,group_940,0,2,2.0,0.0,0.03598
3272,group_3665,7,0,7.0,0.053032,0.010914
3273,group_6856,0,2,2.0,0.0,0.03598
3274,group_6879,0,2,2.0,0.0,0.03598
3275,group_938,1,2,7.0,0.33586099999999997,0.015548999999999999
3276,group_53,5,3,10.0,0.050052,0.029341
3277,group_843,9,0,10.0,0.252095,0.015281
