TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
3PA2C_X0777,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0777
3PA2C_X0778,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0778
3PA2C_X0779,Baker2023,acera14,H.2,H,Family 3 - Adult 1 - Lineage 14 - TP2,3PA2C_X0779
3PA2C_X0780,Baker2023,acera16,D.1,D,Family 3 - Adult 1 - Lineage 16 - TP2,3PA2C_X0780
3PA2C_X0782,Baker2023,acera16,D.1,D,Family 3 - Adult 1 - Lineage 16 - TP2,3PA2C_X0782
3PA2C_X0783,Baker2023,acera16,D.1,D,Family 3 - Adult 1 - Lineage 16 - TP2,3PA2C_X0783
3PA2C_X0786,Baker2023,acera16,D.1,D,Family 3 - Adult 1 - Lineage 16 - TP2,3PA2C_X0786
3PA2C_X0787,Baker2023,acera16,D.1,D,Family 3 - Adult 1 - Lineage 16 - TP2,3PA2C_X0787
3PA2C_X0789,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0789
3PA2C_X0790,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0790
3PA2C_X0791,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0791
3PA2C_X0792,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0792
3PA2C_X0793,Baker2023,acera11,A.3,A,Family 3 - Adult 1 - Lineage 11 - TP2,3PA2C_X0793
3PA2C_X0794,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2C_X0794
3PA2C_X0795,Baker2023,acera16,D.1,D,Family 3 - Adult 1 - Lineage 16 - TP2,3PA2C_X0795
3PA2C_X0796,Baker2023,acera11,A.3,A,Family 3 - Adult 1 - Lineage 11 - TP2,3PA2C_X0796
3PA2F_X0849,Baker2023,acera12,D.1,D,Family 3 - Adult 1 - Lineage 12 - TP2,3PA2F_X0849
3PA2F_X0850,Baker2023,acera10,H.2,H,Family 3 - Adult 1 - Lineage 10 - TP2,3PA2F_X0850
3PA2F_X0851,Baker2023,acera10,H.2,H,Family 3 - Adult 1 - Lineage 10 - TP2,3PA2F_X0851
3PA2F_X0852,Baker2023,acera11,A.3,A,Family 3 - Adult 1 - Lineage 11 - TP2,3PA2F_X0852
3PA2F_X0853,Baker2023,acera10,H.2,H,Family 3 - Adult 1 - Lineage 10 - TP2,3PA2F_X0853
3PA2F_X0855,Baker2023,acera13,H.3,H,Family 3 - Adult 1 - Lineage 13 - TP2,3PA2F_X0855
3PA2F_X0856,Baker2023,acera10,H.2,H,Family 3 - Adult 1 - Lineage 10 - TP2,3PA2F_X0856
3PA2F_X0857,Baker2023,acera14,H.2,H,Family 3 - Adult 1 - Lineage 14 - TP2,3PA2F_X0857
3PA2F_X0859,Baker2023,acera96,F.3,F,Family 3 - Adult 1 - Lineage 96 - TP2,3PA2F_X0859
